token	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017
breaking							1.0																			1.0																																
breaks																										1.0																																
breakthrough																																															1.0											
breast																										1.0								1.0																								
breath														2.0																																												2.0
breathes																																		1.0																								
breathing					1.0																																																					
bred																																	1.0																									
breed																																																	1.0									
breeze																																																			5.0							
brethren				1.0	2.0				1.0			1.0																																														
bridge																																																					2.0				1.0	
bridges																																															1.0									1.0		1.0
bridle					1.0																																																					
brief	1.0									1.0							2.0	1.0	1.0					1.0				1.0												1.0																		
briefly											1.0					1.0	1.0		1.0								1.0																					1.0										
bright				1.0																																1.0										1.0	1.0						2.0				1.0	
brightens																																													1.0													
brighter																																																		1.0	1.0							
brightest																																										1.0																
brightly																																											1.0															
brilliant													1.0																						1.0													1.0										
bring				1.0		1.0	1.0	2.0					1.0	2.0	1.0						1.0	1.0				1.0				1.0	2.0					2.0	1.0	1.0			2.0	2.0	1.0	2.0		1.0	1.0	1.0		2.0	3.0	1.0		1.0	2.0		1.0	4.0
bringing																									1.0	1.0																					1.0											
brings	1.0													1.0												1.0																										1.0		1.0		1.0		
brink																													1.0																												1.0	
britain									2.0	1.0																		1.0																														
britannic									1.0																																																	
british							5.0		2.0					1.0														1.0														1.0																
broad													1.0	2.0	2.0		1.0		1.0																1.0		1.0																1.0				1.0	
broadcast																																																				1.0						
broadening																																				1.0																						
broader																													1.0				1.0		1.0																				1.0			
broadly																																														1.0												
broils																									1.0																																	
broke			1.0																																																							
broken																	1.0															1.0																			1.0					1.0		
brood																											1.0																															
brother																																1.0																										
brotherhood																																		1.0	2.0	1.0							1.0							1.0								
brotherly																																			1.0																							
brothers																																										1.0				3.0											1.0	
brought								1.0	1.0		1.0						1.0		1.0			1.0	1.0	2.0						1.0	2.0								1.0		2.0				2.0					1.0								
brown																																																										1.0
brutal																																									1.0																	
brutus														1.0																																												
buccaneering									1.0																																																	
budapest																																											1.0															
budget																																																		3.0	2.0		1.0					
build																			1.0																		1.0		1.0	1.0	1.0		2.0			2.0	3.0			1.0			3.0	2.0	1.0	2.0	2.0	1.0
builded																																		1.0																								
builders																													1.0									1.0																				
building																																	1.0			4.0							2.0		1.0		2.0			1.0		1.0	2.0	1.0				
buildup																																																		1.0								
built																							1.0								2.0	2.0			1.0				2.0								1.0	2.0					2.0		1.0		1.0	
bulk																												1.0																														
bulky																															1.0																											
bullies																																																							1.0			
bulwark			1.0			1.0					1.0			1.0	1.0		1.0																																1.0									
bulwarks				1.0																																																						
burden							1.0			1.0			1.0													1.0	1.0	1.0			1.0	1.0		1.0	2.0							1.0		2.0		1.0	1.0		3.0									
burdened												1.0																							1.0								1.0															
burdens								1.0	1.0	1.0				1.0	5.0												1.0							2.0	1.0	2.0					1.0	1.0	1.0	1.0														
burdensome																										1.0									1.0																							
bureau																															1.0																											
bureaus																										1.0																																
burger																																																		1.0								
burma																																										1.0																
burns																																																							1.0			
burthen									2.0																																																	
burthened				1.0																																																						
burthening					1.0																																																					
bush																																																	1.0	1.0		1.0		1.0	1.0	1.0		1.0
business														1.0							1.0			2.0	2.0	2.0	3.0	8.0	2.0		22.0	2.0		5.0	2.0	9.0	1.0				1.0								1.0			1.0				1.0		
businesses																																																							1.0	1.0	1.0	
busy																									1.0																																	
but	3.0		10.0	7.0	9.0	1.0	4.0	5.0	8.0	7.0	3.0	3.0	19.0	39.0	7.0	5.0	26.0	10.0	18.0	5.0	6.0	4.0	10.0	17.0	5.0	24.0	5.0	27.0	5.0	11.0	8.0	8.0	7.0	18.0	41.0	20.0	10.0	7.0	6.0	3.0	6.0	9.0	2.0	13.0	13.0	17.0	15.0	13.0	7.0	11.0	25.0	15.0	11.0	12.0	5.0	20.0	13.0	13.0
buy																																		1.0				1.0					1.0															1.0
by	20.0	2.0	30.0	16.0	22.0	11.0	13.0	30.0	58.0	38.0	11.0	10.0	17.0	103.0	46.0	17.0	20.0	22.0	42.0	6.0	1.0	12.0	26.0	27.0	16.0	37.0	21.0	33.0	16.0	7.0	43.0	7.0	7.0	11.0	29.0	32.0	19.0	10.0	8.0	1.0	18.0	16.0	9.0	7.0	2.0	9.0	19.0	1.0	10.0	12.0	10.0	10.0	6.0	11.0	24.0	8.0	11.0	6.0
bygone																														1.0																												
cabbies																																																	1.0									
cabinet							1.0																				1.0																							1.0	1.0							
caesar														2.0																																												
calamities								1.0	1.0																																																	
calamitous																							1.0																																			
calamity			1.0											1.0																																												
calculate																		1.0			1.0																																					
calculated					1.0				1.0		1.0		1.0	2.0		1.0	1.0	1.0																								1.0																
calculating								1.0																																																		
calculation																										1.0	1.0																									1.0						
calculations																		1.0																																								
calendar													1.0																																													
california																		1.0																																								
call	1.0		1.0	1.0		1.0	2.0									1.0		1.0	1.0			2.0	1.0		1.0	1.0					2.0	1.0		4.0			1.0	2.0				1.0		4.0		2.0				1.0		2.0	1.0	2.0	1.0		1.0	
called	1.0	1.0		2.0	3.0		1.0	2.0	3.0	2.0	1.0	1.0	1.0	6.0		1.0	3.0			1.0		1.0	3.0			1.0	1.0	2.0		1.0	1.0			2.0		2.0		1.0				1.0	3.0		2.0				5.0	1.0	1.0	2.0		3.0				
calling								1.0						1.0		1.0										1.0								1.0								1.0									1.0	1.0		1.0	1.0		1.0	
callous																																					1.0																					
calls												1.0	1.0																		2.0						1.0		1.0																	2.0		
calm													1.0	1.0			2.0	1.0	1.0														1.0																									
calmly																			1.0		1.0							1.0															1.0															
calmness																										1.0																																
calvin																																				1.0																						
came									1.0					1.0			1.0		1.0	2.0		1.0		1.0					1.0		1.0								3.0						2.0	1.0			1.0	1.0		1.0	1.0		5.0	1.0		1.0
camillus														1.0																																												
camp														1.0																																												
campaign								1.0	1.0													1.0																																				
campfires																																																								1.0		
camps																																																					1.0					
can	8.0		8.0	1.0	5.0	3.0	1.0	4.0	1.0	2.0	5.0	3.0	7.0	23.0	7.0	1.0	11.0	6.0	21.0		3.0	3.0	2.0	10.0	2.0	3.0	7.0	12.0	2.0	2.0	15.0	2.0	5.0	11.0	16.0	16.0	10.0	9.0		3.0	16.0	6.0	9.0	9.0	5.0	17.0	15.0	13.0	7.0	6.0	13.0	6.0	8.0	6.0	7.0	13.0	7.0	1.0
canal																								1.0							7.0												1.0															
canals					1.0			1.0										1.0						1.0																																		
cancers																																						1.0																				
candid			1.0		2.0					3.0									1.0													1.0			1.0																							
candidacy																						1.0																																				
candidate																		1.0																																								
candidates														1.0																																												
candidly													1.0										1.0												1.0																							
candle																																													1.0													
candor						1.0		1.0	1.0																												1.0									1.0					1.0							
cannot	1.0		1.0	2.0	1.0	2.0		4.0	2.0	1.0			2.0	3.0	5.0	1.0	3.0		7.0			1.0		3.0		2.0	2.0	5.0	1.0		6.0	2.0	2.0	4.0	10.0	2.0	3.0		2.0	1.0			1.0	4.0		2.0	1.0	3.0			3.0	3.0	3.0		2.0	6.0	6.0	1.0
cantons														1.0																																												
canvass																	1.0									1.0																																
capability																																																		1.0								
capable				1.0					1.0																				1.0		1.0				1.0				1.0										1.0		1.0							
capacities																																										1.0																
capacity							1.0						1.0		1.0	1.0	3.0	1.0			2.0					1.0			2.0					1.0		2.0		1.0	1.0		1.0								3.0							1.0	2.0	
cape																								1.0																																		
capital								2.0						1.0										1.0	2.0	2.0		1.0			4.0	1.0							1.0		2.0	2.0				1.0						3.0				1.0		3.0
capitalist																																													1.0													
capitals																									1.0																															1.0		
capitol														1.0																						1.0					1.0								1.0								1.0	
capped																																																									1.0	
caprice															1.0																																											
captive																																											1.0															
captives							2.0																																																1.0			
capture																																											1.0															
car																																																			1.0							
cardinal																		1.0																																			1.0					
care	1.0			1.0		1.0		1.0	1.0		2.0			2.0	4.0	3.0			1.0	1.0			1.0		1.0	2.0		2.0	2.0	1.0				1.0								2.0									2.0	2.0	2.0	1.0		3.0	3.0	
cared																																																		1.0							1.0	
career						1.0		2.0	1.0	2.0				1.0										1.0																																		
careful														1.0	2.0						2.0				1.0	1.0		1.0		1.0	2.0	1.0																										
carefully	1.0												2.0										1.0					1.0	1.0						1.0																							
careless																										1.0																																
carelessly																																			1.0																							
cares	1.0																																																									
cargoes																																		1.0																								
caring																																														1.0											1.0	
carnage																																																										1.0
carolina																	1.0																																									
carried							2.0		2.0	1.0			1.0				3.0											1.0			2.0	1.0							1.0																	3.0		
carriers								1.0																							1.0																											
carries															1.0																												1.0							1.0								
carry						1.0			3.0				2.0	2.0							1.0	2.0					1.0	2.0	1.0		1.0			2.0		1.0		2.0	1.0		1.0								2.0	1.0				1.0	1.0	1.0	3.0	1.0
carrying							1.0							1.0								1.0	1.0			1.0		1.0			1.0										1.0	1.0																
cars																																																								1.0		
carter																																																						1.0	1.0			1.0
case								1.0	2.0					6.0				1.0	9.0				1.0			3.0		1.0			1.0																				1.0							
cases			1.0	1.0		1.0		1.0					2.0	1.0					6.0							1.0																																
cash																																1.0																										1.0
casing																																										1.0																
cast														1.0				1.0																	1.0		1.0												1.0			1.0					1.0	
casting																																												1.0														
casts															1.0																																											
casual														1.0																																												
casualties								1.0																																																		
catalogue																																				1.0																						
catastrophe										1.0							1.0																																									
catch																																														2.0												
cathedral																																														1.0												
cattle																										1.0																																
caught																																														2.0												
cause			2.0					3.0	2.0				3.0	5.0		1.0	1.0		2.0	2.0			1.0			2.0		3.0		4.0	2.0			2.0	2.0	1.0			1.0		1.0	2.0			1.0	2.0				2.0		2.0		2.0	6.0	1.0		
caused																								2.0							1.0																											
causes								1.0	4.0	1.0	1.0	1.0	2.0	4.0																				1.0		4.0						1.0																
caution			1.0								1.0																																															
cautious																									1.0																					1.0												
cease									1.0								1.0		2.0	2.0						2.0		1.0														1.0	1.0															
ceased													1.0					1.0	1.0																																							
ceaseless																																																					1.0					
ceasing									1.0																																																	
cede																																																									1.0	
ceded									3.0						1.0																																											
celebrate																										1.0																				4.0	1.0				1.0	3.0	1.0		1.0			1.0
celebrated														2.0										1.0																										1.0						1.0		1.0
celebration																																												1.0								1.0			1.0	1.0	1.0	1.0
cement						1.0								1.0																																1.0												
cemented															1.0																																											
cementing																					1.0																																					
cemetery																																																	1.0									
censorship					1.0																																																					
censure									1.0																																																	
census																								1.0		2.0																																
centennial																								1.0		1.0																																
centennials																										1.0																																
center										1.0				1.0												2.0																																1.0
centered																																	1.0																									
centers																														1.0							1.0																1.0					
central														1.0				1.0	1.0							1.0																					1.0										1.0	
centuries																																						1.0	1.0	1.0					1.0	2.0		1.0	1.0	2.0		1.0	1.0		1.0		2.0	
century													1.0	1.0	1.0		1.0							4.0	1.0	4.0			1.0	2.0	1.0							2.0			1.0	3.0		2.0		3.0	3.0			1.0	2.0	2.0	20.0	2.0	2.0			
cereals																																			1.0																							
ceremonial																							1.0			1.0																																
ceremony		1.0																							1.0																	1.0						2.0	2.0			2.0			1.0			1.0
certain			1.0					1.0	2.0				2.0	3.0	1.0		1.0	1.0	1.0				2.0	1.0			1.0	2.0		1.0	5.0		2.0		1.0		1.0					1.0	1.0	1.0							1.0		2.0				1.0	
certainly			3.0		1.0								1.0	3.0					1.0				1.0	1.0		1.0					1.0																											
certainty																															1.0																											
chain													1.0																																													
chains			1.0																																							1.0		1.0											1.0			
chair													1.0																																													
chairman																																											1.0															
chairs																																				1.0																						
chalice																																														1.0												
challenge																	1.0										1.0							1.0				1.0				2.0		1.0			1.0			2.0		2.0	3.0	2.0				1.0
challenged																																						1.0									1.0				1.0	1.0						
challenges																																									1.0						3.0				2.0	3.0	2.0		1.0	2.0	1.0	1.0
chamber			1.0																																																							
chance			1.0																1.0			1.0										1.0			3.0			1.0								1.0	2.0		1.0	2.0			3.0	1.0		1.0	1.0	
chances															1.0																																											
change				1.0	2.0	1.0			2.0					1.0					2.0				3.0	3.0		1.0					7.0	4.0		1.0	1.0			4.0			1.0	1.0	4.0	1.0	13.0	1.0				1.0		9.0	2.0			1.0	3.0	
changed													1.0	3.0								1.0												1.0				1.0												1.0	2.0	2.0				1.0		
changeless																																													1.0													
changers																																					2.0																					
changes																	1.0		1.0			1.0						3.0		1.0	3.0		1.0			1.0	2.0					1.0								1.0				1.0				1.0
changing									1.0										1.0																													1.0		1.0								
channel																															1.0					1.0																						
channels																	1.0				1.0													1.0																								
chaos																																						1.0																1.0				
chapter																																						1.0													1.0		1.0			1.0		
character	1.0		1.0	1.0	1.0			1.0	1.0	1.0		1.0	4.0	17.0	3.0	1.0	1.0	2.0					1.0			2.0	2.0	1.0		1.0	1.0	1.0				2.0	1.0								1.0								1.0	4.0	4.0	1.0	1.0	
characteristic	1.0																																																									
characterize								1.0							2.0											2.0																																
characterized																	1.0																			1.0																						
characters	1.0				1.0		1.0				1.0			2.0																																												
charge	1.0			1.0	1.0		1.0						1.0	1.0		1.0																		1.0																								
chargeable						1.0																																																				
charged				1.0	1.0			1.0							1.0								1.0						1.0		1.0				1.0						1.0																	
charges																									1.0			1.0																														
charity																				1.0						1.0																1.0							1.0					1.0		1.0	1.0	
chart															1.0																															1.0												
charta																																							1.0																			
charter	1.0													1.0																					1.0						1.0															2.0		
chase																																					1.0													1.0								
chattel																																									1.0																	
cheap																						1.0																																				
cheapness																											1.0																															
check																										1.0																							1.0									
checked														3.0																																												
checking																											1.0																															
checks									1.0					1.0					1.0																																							
cheered																	1.0																																									
cheerful															1.0																																											
cheerfully											1.0		2.0	1.0			1.0	1.0	2.0						1.0		1.0	3.0																					1.0									
cheerfulness							1.0																																																			
cheering										1.0			2.0				1.0																																									
chemical																																																					1.0					
cheney																																																							1.0			
cherish					1.0	1.0	1.0	1.0		2.0					1.0			1.0	1.0	1.0			2.0			1.0								2.0									1.0															
cherished					1.0			1.0						1.0	1.0		1.0											1.0							1.0			1.0				2.0					1.0										1.0	
cherishes																																			1.0																							
chest																																		1.0																								
chief		1.0					1.0	1.0	1.0					6.0	2.0	1.0			1.0			1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0			1.0					1.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0	1.0			1.0	1.0		1.0	1.0
chiefly			1.0		1.0															1.0			1.0																																			
child																								1.0							1.0														2.0	1.0					1.0	1.0	1.0	1.0		2.0	1.0	1.0
childhood																																		1.0																								
childish																																																								1.0		
children					1.0				1.0				1.0		1.0		2.0	3.0						3.0						3.0		3.0				1.0		1.0		1.0					2.0		1.0		5.0		4.0	3.0	6.0	4.0		3.0	3.0	2.0
china																													1.0													1.0																
choice			4.0	1.0							1.0														1.0	1.0										1.0						2.0			1.0								2.0	2.0	4.0	1.0		
choices																																														1.0					1.0		1.0		1.0	1.0	1.0	
choose								1.0											2.0													1.0														1.0							2.0	1.0		1.0	1.0	
chooses																																			1.0																				1.0			
choosing																																																			1.0	1.0						
chop																																																	1.0									
chords																			1.0																																							
chorus																			1.0																								1.0								1.0	1.0						
chosen	1.0			1.0									1.0		3.0	1.0			1.0			1.0	1.0		1.0		2.0	1.0					1.0			1.0		1.0				1.0									1.0				3.0	1.0		
chosin																																																	1.0									
christian														1.0				1.0																																								
christianity			1.0																1.0																																							
christians			1.0																																																					1.0		
christmas																																														1.0												
christs														1.0																																												
church					1.0										1.0									1.0																									1.0					1.0				
churches																																										1.0																
churchill																																																	1.0									
cincinnati																										1.0																																
circle				1.0							1.0		1.0											1.0															1.0														1.0					
circulating																												1.0																														
circulation							1.0																	2.0																																		
circumscribed																	1.0																																									
circumstance	1.0												2.0																									1.0																				
circumstances	2.0				1.0	2.0		3.0	5.0	1.0		1.0	3.0	7.0	1.0		3.0		3.0			1.0	2.0		1.0			2.0					1.0																		1.0			1.0				
cities			1.0					1.0	2.0																						1.0			1.0			1.0		1.0			1.0				1.0												1.0
citizen			1.0					5.0		1.0			1.0	11.0			1.0		1.0		2.0	1.0	1.0	2.0	5.0	3.0	3.0								2.0	1.0		1.0	1.0			3.0			3.0						1.0		1.0	1.0	1.0		2.0	
citizenry																																										1.0																
citizens	5.0	1.0	5.0	6.0	10.0	1.0	4.0	9.0	15.0	2.0	2.0	2.0	6.0	27.0	11.0	2.0	2.0	7.0	6.0		2.0	1.0	7.0	5.0	6.0	4.0	4.0	8.0	2.0	1.0	6.0		2.0	1.0	2.0	11.0	1.0	1.0		1.0	1.0	4.0		5.0	1.0	1.0	1.0		3.0	6.0	2.0	2.0	7.0	9.0	6.0	1.0	6.0	4.0
citizenship																	1.0				1.0	1.0	1.0	2.0	2.0	5.0	3.0	2.0						5.0	1.0	1.0																	2.0	1.0		1.0		
citizensùa				1.0																																																						
city									1.0	1.0										1.0											1.0							1.0					1.0		1.0				1.0			1.0				1.0		2.0
civic				1.0																														1.0																				1.0				
civil	1.0			1.0	1.0	1.0			2.0	1.0	1.0		2.0	3.0	1.0	2.0		3.0	1.0	1.0	1.0	3.0	3.0	2.0	3.0	6.0	1.0	2.0	4.0		1.0			1.0		1.0															1.0	2.0	1.0	2.0		1.0		
civility																																												1.0			1.0							4.0				
civilization								1.0		1.0						1.0					1.0	2.0			2.0		1.0	1.0	1.0	1.0				12.0	1.0	5.0	1.0	2.0	1.0	1.0	1.0					1.0						1.0						
civilized						1.0	1.0		1.0					1.0			1.0		1.0			2.0			1.0			1.0							1.0																							1.0
clad																																						1.0																				
claim								1.0		1.0				5.0	1.0		3.0		2.0														1.0		1.0	1.0																	1.0	1.0			1.0	
claimed									1.0					3.0						1.0																																						
claiming			1.0					1.0																																																		
claims			1.0						3.0				1.0	2.0									1.0		2.0																																	
clamor																																													1.0													
clarification																																			1.0																							
clarified																																		1.0																								
clarify																																	1.0	1.0		1.0																			1.0			
clarity																																							1.0																			
class							2.0								1.0				1.0		1.0			1.0	1.0	1.0					1.0			1.0	2.0	3.0																	3.0				1.0	1.0
classed														1.0																																												
classes			2.0									1.0			3.0											3.0															1.0																	
classroom																																																					1.0					
clause														1.0					5.0																																							
clauses																															1.0																											
clay																										1.0																																
clean																																1.0					1.0																			1.0		
cleaner																																															1.0						1.0					
cleanse																																1.0																										
clear														2.0	1.0		2.0	2.0	1.0				1.0			1.0	1.0				1.0		2.0		2.0		2.0	1.0			2.0	1.0	1.0		1.0	1.0		2.0			1.0	1.0	1.0	1.0	1.0			
clearly									1.0	1.0		1.0		1.0	3.0		1.0		1.0						1.0	2.0		2.0	1.0						1.0					1.0		1.0	1.0				1.0				1.0	1.0						
clearness																																			1.0																							
cleaves																																																			1.0							
clergy																																												1.0						1.0					1.0			
clerk																																													1.0													
clerks																																																	1.0									
climate								1.0		1.0			1.0	1.0	1.0																							2.0					2.0														1.0	
climb																																																		1.0								
climes											1.0																																															
clinching																															1.0																											
cling								1.0																																		1.0														1.0		
clinton																																																						2.0	1.0			1.0
cloaked																																																					1.0					
clocks																																																			1.0							
clogged																																		1.0																								
close				1.0						1.0								1.0	1.0			1.0	1.0	1.0	1.0				1.0																1.0	1.0		1.0		1.0			1.0					
closed																								1.0				1.0	1.0																													1.0
closely								1.0																	1.0		1.0				1.0																											
closeness																							1.0																												1.0							
closer																																	1.0	2.0																								
closest								1.0																										1.0																								
closing																																										1.0																
clothe																																							1.0																			
clothed																										1.0													1.0																			
clothes														1.0																																												
clothing																																									1.0																	
clouds							1.0																																																	1.0		
co																												1.0	2.0					1.0																								
coal																										1.0																1.0																
coaling																										1.0																																
coarse															1.0																																											
coast								2.0	5.0									2.0													6.0																						2.0					
coasts																								1.0																																		
cocaine																																																			1.0							
code																										1.0																															1.0	
coequal																																				1.0																						
coercion																										1.0																																
coercions					1.0																																																					
coercive													1.0																																													
coeval										1.0				1.0																																												
coffers															1.0																																											
coherence																																			1.0																							
coin																							2.0	2.0		1.0																																
coinage																								1.0				1.0																														
coincidence										1.0																																							1.0									
coined																								1.0				2.0																														
cold																																										1.0				1.0				1.0		1.0	1.0					
coldest																																																								1.0		
coleman																																																1.0										
collaborator																																			1.0																							
collapse																											1.0											1.0														1.0						
collect	1.0								1.0						1.0				1.0		1.0																																					
collected					3.0				1.0					1.0	1.0			1.0			1.0																																					
collection															1.0						1.0										1.0				1.0																							
collective																																		1.0		1.0					1.0															1.0	1.0	
collectively															1.0		1.0																																1.0									
college																																																					1.0					
colleges			1.0																																																					1.0	1.0	
collision										1.0																																																
collisions										1.0			1.0	3.0	1.0																																											
colonel																															1.0																											
colonial																										1.0																		1.0														
colonies									4.0																										1.0																							
colonists																								1.0																																		
colonization																	1.0														1.0																											
color																							1.0				1.0																		1.0													
colorable			1.0																																																							
colored																				1.0		1.0	1.0								1.0														1.0													
colors																																								1.0																	1.0	
colossal																																										1.0																
columbia													1.0	3.0																	1.0																											
columns																																																	1.0									
combat				1.0											1.0											1.0																						1.0										
combated					1.0																																																					
combination										1.0																								1.0																								
combinations			1.0											1.0												1.0	3.0	1.0			4.0					1.0																						
combine																																										1.0																
combined																												1.0						1.0	1.0																							
combining																															1.0																											
come													1.0	2.0	2.0				1.0	2.0	2.0		2.0			2.0		2.0	1.0		4.0	4.0	1.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	5.0		1.0	4.0	2.0	1.0	4.0	1.0	2.0	4.0		1.0
comes																								1.0										2.0			2.0					1.0				3.0	1.0						1.0		1.0			
cometh																				1.0																																						
comfort								1.0		1.0																1.0	1.0				1.0					2.0		2.0				1.0		1.0										1.0				
comforts					3.0		1.0																			1.0												1.0																				
coming														1.0									1.0	2.0		1.0						1.0						1.0			2.0		2.0		1.0								1.0					
comities																																		1.0																								
comity																																		1.0																								
command	1.0			1.0				1.0	1.0		1.0			2.0		1.0						1.0					1.0	2.0														1.0		1.0					1.0									
commanded			2.0			1.0																																																			1.0	
commander														1.0																																												
commanders							1.0																																																			
commanding									1.0												1.0							1.0																														
commandments																												1.0																														
commands																											1.0																															
commence	1.0						1.0	1.0	1.0												1.0																																					
commenced									2.0	1.0																																																
commencement								1.0	2.0					2.0				1.0					1.0																																			
commencing								1.0	1.0	1.0																																																
commendable																												1.0																														
commended																									2.0			1.0																														
commending														1.0																																												
commensurate													1.0																		1.0																											
commerce			3.0	3.0		2.0		3.0	11.0	2.0	1.0		1.0		3.0	1.0	2.0	1.0			1.0	4.0		2.0	1.0	2.0		2.0			8.0	1.0	1.0								1.0	2.0	1.0	1.0								1.0	1.0			1.0	1.0	
commercial									1.0				1.0					1.0					1.0	3.0		5.0		2.0	1.0					2.0																								
commiseration					1.0																																																					
commission																			1.0									2.0	2.0		3.0					1.0																						
commissioner														1.0																																												
commissioners									1.0																																																	
commissions														1.0															1.0																													
commit										1.0			1.0	3.0																						1.0																					1.0	
commitment																																		2.0												1.0	1.0	2.0	1.0		1.0			3.0				
commitments																																		1.0													1.0							2.0	1.0		1.0	
committed	1.0		1.0	1.0					2.0					2.0	1.0	1.0						1.0		1.0	1.0			1.0	1.0						1.0									2.0		2.0												
committing								1.0																																																		
commodities																																				1.0																						
common			2.0	2.0			2.0	2.0		5.0			3.0	4.0	4.0	1.0	2.0	2.0			2.0	1.0	2.0	1.0	1.0						1.0	1.0	2.0	5.0	5.0	2.0	3.0	2.0	1.0		2.0	6.0	2.0	1.0	1.0			1.0		1.0			3.0	5.0	1.0	6.0	3.0	
commonly										1.0							1.0																																									
commonplace																																																	1.0				1.0					
commons																												1.0																														
commonwealth					1.0									2.0															1.0																													
communicate								1.0						1.0																																												
communicated									1.0																				1.0																													
communicating														1.0								1.0																																				
communication												1.0			1.0							1.0				1.0																				1.0												
communications											1.0																										1.0															1.0						
communion										1.0																																																
communism																																									6.0		2.0									2.0			1.0	1.0	1.0	
communist																																									1.0																	
communists																																												1.0														
communities	2.0											1.0	1.0	1.0	2.0									2.0		5.0		1.0								1.0		1.0									1.0					2.0	1.0	2.0	1.0			
community								3.0	1.0			1.0	2.0	1.0				1.0	1.0							5.0					3.0		1.0			2.0				1.0		2.0				1.0	1.0			1.0	1.0	1.0	2.0	2.0				
compact								1.0		2.0				2.0	3.0																								1.0																			
compacts													1.0																																													
companies																															1.0																											1.0
companions																																													1.0													
company																																									1.0											1.0						
comparative									1.0									2.0													1.0																											
comparatively													1.0		1.0		2.0																																									
compare														2.0							1.0																																					
compared	1.0																	1.0				1.0															1.0																					
comparison																																			1.0																							
compass				1.0						1.0														1.0																																		
compassion																																										1.0				1.0			1.0	2.0				3.0				
compassionate																																																1.0						1.0				
compatible													1.0		1.0		1.0								1.0																																	
compel									1.0																																																2.0	
compelled							1.0		1.0												1.0					1.0																																
compelling							1.0																	1.0											1.0																							
compensate																		1.0																														1.0										
compensated														2.0																																												
compensation	1.0																								1.0		1.0				1.0																											
compensations																																		1.0																								
compete																									1.0																											2.0						
competency								2.0						1.0											1.0		1.0																															
competent				1.0				1.0	2.0	1.0					2.0				2.0												1.0							1.0										1.0										
competing																									1.0																																	
competition								1.0																		1.0	1.0							1.0		3.0										1.0						1.0					1.0	
competitions					1.0																																																					
competitive																																			1.0																							
complain																		1.0								1.0																																
complained														2.0																																												
complaining																																																										1.0
complaint			1.0																																																							
complete					1.0			3.0	3.0			1.0			2.0								2.0				2.0		1.0		1.0				2.0	1.0						1.0													1.0		5.0	
completed									1.0																				1.0		1.0	1.0		1.0																								
completely								1.0					1.0	1.0																																												1.0
completeness																															1.0																											
completion																													1.0		1.0																											
complex													1.0																	1.0						2.0		1.0											1.0									
complexity																	1.0																																									
compliance										1.0				1.0		1.0			1.0				1.0								1.0																											
complicated														1.0			1.0																			1.0																						
complications																							2.0																																			
compliment																																																			1.0							
comply			1.0																																																							
comport								1.0																																																		
comports																																			1.0																							
compose														2.0					1.0											1.0								1.0																				
composed							1.0																												1.0						1.0																	
composing														2.0																																												
composite																																	1.0																									
composition										1.0																																																
comprehend				1.0																												2.0			2.0																							
comprehending																																											1.0															
comprehension																	1.0																																									
comprehensive	1.0																2.0																		1.0																							
comprehensively																																			1.0																							
compress				1.0																																																						
comprise									1.0																																																	
comprised																	1.0																																									
compromise											1.0	1.0	2.0		2.0		1.0																									1.0							1.0		1.0							
compromises															4.0																																											
compulsory																								2.0																																		
computation																																			1.0																							
computer																																																					1.0					
comrades																																		1.0																								
conceded															1.0								1.0				1.0																															
conceive														5.0				1.0																																								
conceived																																1.0				1.0									1.0													
conceives															1.0																																											
conceiving														1.0																												1.0																
concentrated														1.0																																									1.0			
concentrating																																1.0																										
concentration																	1.0																1.0																									
concept																																		1.0							2.0																	
conception																		1.0										1.0			1.0		1.0	1.0		2.0																						
concepts																																									1.0	1.0																
concern				1.0																					1.0		1.0							5.0	2.0	3.0	1.0	1.0			1.0	1.0				2.0			1.0					1.0				
concerned														1.0	1.0							1.0	1.0								1.0					1.0					1.0	1.0				1.0												
concerning			1.0																1.0					4.0			1.0						1.0			1.0																						
concernment										1.0			1.0																																													
concerns	1.0			1.0				1.0	1.0	1.0		2.0	2.0	3.0	1.0			1.0										1.0				1.0											1.0															
concert			1.0																							1.0																																
concerted																																																							1.0			
concession												1.0	2.0		2.0		1.0								2.0	1.0	2.0																															
concessions																										1.0		1.0			1.0																								1.0			
conciliate				1.0																																																						
conciliated										1.0																																																
conciliation									1.0							1.0																		1.0		1.0																						
concise															1.0																																											
concluded									4.0	1.0																																																
concluding														1.0																																												
conclusion									1.0							1.0					1.0					1.0		1.0								1.0																			1.0			
conclusions																							1.0																																			
conclusive									1.0				1.0					1.0	1.0				2.0																																			
concord														1.0			1.0																	1.0																						1.0		
concrete																																																			1.0							
concur																												1.0																														
concurrence										1.0				1.0														1.0																														
concurrent																																				1.0																						
condemn				1.0										1.0													1.0																											1.0				
condemned									1.0																		1.0				1.0																											
