token	df
apprehend	2
apprehension	7
apprehensions	3
apprehensive	1
apprised	1
approach	8
approached	2
approaches	2
approaching	6
approbation	7
appropriate	6
appropriately	1
appropriateness	1
appropriation	1
appropriations	2
approval	5
approve	3
approved	6
approving	1
approximate	1
approximated	1
april	3
apt	2
aqueducts	1
arbitrament	2
arbitrarily	2
arbitrary	2
arbitration	8
archibald	1
archipelago	2
architects	1
ardent	9
ardor	3
arduous	9
are	58
area	4
areas	5
argonne	2
argue	2
argued	1
argument	6
arguments	3
arid	1
aright	1
arise	11
arisen	6
arises	3
arising	3
aristocracy	1
ark	1
arlington	2
arm	3
armament	2
armaments	7
armed	14
armies	11
arms	23
army	8
arose	1
around	16
arouse	1
arraignment	1
arrange	2
arrangement	6
arrangements	6
array	1
arrest	5
arrested	1
arresting	2
arrests	1
arrive	1
arrived	2
arrives	1
arriving	1
arrogance	1
arrogate	1
arsenal	2
arsenals	3
art	4
article	5
articles	6
articulated	1
artifice	1
artificial	3
artificially	1
artillery	2
artisans	1
artists	1
arts	8
as	57
ascendancy	1
ascended	1
ascendency	1
ascertain	2
ascertained	3
ascertaining	2
ascribe	1
ascribed	1
ashamed	3
asia	5
asiatic	1
aside	5
ask	25
asked	9
asking	2
asks	3
asleep	1
aspect	4
aspects	1
aspiration	3
aspirations	9
aspire	3
aspires	1
assail	1
assailed	1
assault	2
assemblage	3
assemble	1
assembled	10
assembly	7
assent	2
assert	5
asserted	2
assertion	3
assertions	1
asserts	1
assess	1
assessed	1
assessing	1
assign	2
assigned	6
assignment	1
assigns	1
assist	5
assistance	9
assisted	2
assisting	1
associate	1
associated	6
associates	3
association	4
associations	2
assuage	1
assuaged	1
assume	16
assumed	6
assumes	4
assuming	3
assumption	1
assurance	8
assurances	1
assure	10
assured	10
assuredly	1
assuring	1
astonishing	2
astounding	1
astray	2
astronauts	1
asunder	2
asylum	1
at	55
athens	1
atlantic	6
atmosphere	1
atom	2
atone	1
atrocious	1
atrocity	1
attach	1
attached	3
attachment	5
attachments	3
attack	7
attacked	1
attacks	3
attain	7
attained	9
attaining	1
attainment	5
attainments	4
attempt	15
attempted	3
attempting	2
attempts	5
attend	3
attendant	2
attended	4
attending	3
attends	1
attention	18
attentive	1
attest	1
attitude	5
attitudes	1
attorneys	1
attractive	1
attributable	1
attributed	1
attributes	3
attributing	1
audacity	1
audience	1
aught	1
augment	1
augmentation	2
augmented	4
augments	1
auguring	1
august	3
auspices	3
auspicious	2
auspiciously	1
author	7
authoritative	2
authorities	8
authority	27
authorized	5
authorizes	1
authorizing	1
authors	3
autocracy	1
autocratic	1
autonomy	1
auxiliaries	3
auxiliary	2
avail	8
availability	1
available	5
availed	1
avenue	1
avenues	2
aver	1
avert	3
averted	1
averting	1
avoid	12
avoidance	2
avoided	4
avoiding	4
avow	1
avowal	1
avowed	1
avowing	1
await	5
awaited	1
awaiting	1
awaits	5
awake	1
awaken	1
awakened	4
awakens	1
awarded	1
aware	4
away	19
awesome	2
awful	5
ax	1
back	16
background	1
backgrounds	1
backs	1
backward	1
bacteria	1
bad	10
badge	2
badly	1
baffled	1
baggage	1
baker	1
balance	13
balanced	3
balances	2
balancing	1
balk	1
ballot	2
balm	1
baltimore	1
band	2
bane	1
baneful	2
banished	3
banishment	1
bank	4
banking	5
bankrupt	1
banks	2
banner	2
baptism	1
bar	4
barbarian	1
barbarians	1
barbarism	1
barbary	1
barbershop	1
bare	1
barely	2
bargain	1
barriers	5
barter	1
bartered	1
base	4
based	10
basic	6
basis	18
bastion	1
batavian	1
battalion	1
battalions	1
battle	11
battlefield	1
battlefields	2
battles	1
bay	1
bays	1
be	58
beach	2
beacon	2
bear	17
bearing	9
bearings	1
bears	3
beaten	2
beating	1
beautiful	6
beauty	6
became	11
because	38
beckon	1
beckons	2
becloud	1
become	33
becomes	8
becoming	6
bedrock	1
been	56
befit	1
befits	1
befitting	1
before	49
beg	3
began	10
begets	3
begin	7
beginning	20
beginnings	3
begins	2
begun	10
behalf	7
behave	2
behind	8
behold	1
beholds	1
behooves	2
being	32
belaboring	1
belied	1
belief	15
beliefs	4
believe	33
believed	12
believers	2
believes	3
believing	4
bell	1
belleau	1
belligerent	2
belong	7
belonged	1
belonging	4
belongs	14
beloved	11
below	3
bend	2
beneath	3
benediction	3
benedictions	2
benefactors	2
beneficence	3
beneficent	9
beneficial	5
benefit	14
benefited	1
benefiting	1
benefits	16
benevolence	2
benevolent	2
benign	8
bequeathed	1
bernardin	1
beseech	1
beseeching	1
beseems	1
beset	3
besides	4
best	41
bestow	4
bestowal	1
bestowed	9
betray	3
betrays	2
better	33
between	34
beware	1
bewildered	1
beyond	27
bible	5
bicentennial	1
bicker	1
bickering	1
bidding	1
biden	1
big	6
bigger	3
bigoted	1
bigotry	3
bill	6
billion	1
billions	1
billows	1
bills	3
bimetallism	1
bind	12
binding	4
binds	3
biological	1
bipartisanship	1
birth	14
birthday	1
birthright	4
bitter	8
bitterness	3
black	4
blame	1
blast	1
blaze	1
blazed	2
bleak	1
bleakest	1
bled	1
bleed	1
blend	1
blended	2
bless	12
blessed	11
blessing	11
blessings	20
blight	1
blind	4
blinded	3
blindly	1
bloated	1
blood	14
bloodiest	1
bloodshed	3
bloody	2
blot	1
blotches	1
blow	2
blowing	1
blown	1
blows	2
blue	1
blueprint	1
board	2
boast	2
boasted	3
boastfulness	1
boat	1
bodies	4
bodily	1
body	20
bodyùa	1
bold	9
boldest	1
boldly	6
boldness	2
bolivar	1
bombastic	1
bona	1
bond	4
bondage	1
bonds	13
bondsman	1
book	2
border	2
bordering	1
borders	5
bore	2
born	17
borne	10
borrowed	1
borrowing	1
bosom	4
bosoms	1
boston	1
both	30
bottoms	1
bound	15
boundaries	6
boundary	2
bounded	1
boundless	2
bounds	6
bounteous	1
bounties	1
bountiful	1
bounty	5
bow	2
box	2
boy	2
boycott	1
branch	11
branches	12
brave	7
bravely	2
bravery	1
breach	1
bread	2
break	8
breaking	2
breaks	1
breakthrough	1
breast	2
breath	2
breathes	1
breathing	1
bred	1
breed	1
breeze	1
brethren	4
bridge	2
bridges	3
bridle	1
brief	8
briefly	6
bright	6
brightens	1
brighter	2
brightest	1
brightly	1
brilliant	3
bring	29
bringing	3
brings	6
brink	2
britain	3
britannic	1
british	5
broad	9
broadcast	1
broadening	1
broader	4
broadly	1
broils	1
broke	1
broken	4
brood	1
brother	1
brotherhood	5
brotherly	1
brothers	3
brought	14
brown	1
brutal	1
brutus	1
buccaneering	1
budapest	1
budget	3
build	15
builded	1
builders	2
building	9
buildup	1
built	10
bulk	1
bulky	1
bullies	1
bulwark	7
bulwarks	1
burden	15
burdened	3
burdens	13
burdensome	2
bureau	1
bureaus	1
burger	1
burma	1
burns	1
burthen	1
burthened	1
burthening	1
bush	7
business	18
businesses	3
busy	1
but	57
buy	4
by	58
bygone	1
cabbies	1
cabinet	4
caesar	1
calamities	2
calamitous	1
calamity	2
calculate	2
calculated	9
calculating	1
calculation	3
calculations	1
calendar	1
california	1
call	26
called	33
calling	11
callous	1
calls	6
calm	6
calmly	4
calmness	1
calvin	1
came	19
camillus	1
camp	1
campaign	3
campfires	1
camps	1
can	55
canal	3
canals	4
cancers	1
candid	6
candidacy	1
candidate	1
candidates	1
candidly	3
candle	1
candor	6
cannot	41
cantons	1
canvass	2
capability	1
capable	8
capacities	1
capacity	17
cape	1
capital	15
capitalist	1
capitals	2
capitol	5
capped	1
caprice	1
captive	1
captives	2
capture	1
car	1
cardinal	2
care	25
cared	2
career	6
careful	9
carefully	6
careless	1
carelessly	1
cares	1
cargoes	1
caring	2
carnage	1
carolina	1
carried	10
carriers	2
carries	3
carry	22
carrying	9
cars	1
carter	3
case	10
cases	8
cash	2
casing	1
cast	7
casting	1
casts	1
casual	1
casualties	1
catalogue	1
catastrophe	2
catch	1
cathedral	1
cattle	1
caught	1
cause	27
caused	2
causes	10
caution	2
cautious	2
cease	8
ceased	3
ceaseless	1
ceasing	1
cede	1
ceded	2
celebrate	8
celebrated	5
celebration	6
cement	3
cemented	1
cementing	1
cemetery	1
censorship	1
censure	1
census	2
centennial	2
centennials	1
center	4
centered	1
centers	3
central	6
centuries	12
century	22
cereals	1
ceremonial	2
ceremony	8
certain	24
certainly	9
certainty	1
chain	1
chains	4
chair	1
chairman	1
chairs	1
chalice	1
challenge	12
challenged	4
challenges	9
chamber	1
chance	14
chances	1
change	25
changed	9
changeless	1
changers	1
changes	13
changing	4
channel	2
channels	3
chaos	2
chapter	4
character	29
characteristic	1
characterize	3
characterized	2
characters	5
charge	8
chargeable	1
charged	9
charges	2
charity	7
chart	2
charta	1
charter	5
chase	2
chattel	1
cheap	1
cheapness	1
check	2
checked	1
checking	1
checks	3
cheered	1
cheerful	1
cheerfully	10
cheerfulness	1
cheering	3
chemical	1
cheney	1
cherish	13
cherished	11
cherishes	1
chest	1
chief	31
chiefly	4
child	11
childhood	1
childish	1
children	22
china	2
choice	12
choices	6
choose	8
chooses	2
choosing	2
chop	1
chords	1
chorus	4
chosen	18
chosin	1
christian	2
christianity	2
christians	2
christmas	1
christs	1
church	5
churches	1
churchill	1
cincinnati	1
circle	6
circulating	1
circulation	2
circumscribed	1
circumstance	3
circumstances	19
cities	10
citizen	25
citizenry	1
citizens	53
citizenship	15
citizensùa	1
city	11
civic	3
civil	31
civility	3
civilization	20
civilized	11
clad	1
claim	12
claimed	3
claiming	2
claims	6
clamor	1
clarification	1
clarified	1
clarify	4
clarity	1
class	14
classed	1
classes	5
classroom	1
clause	2
clauses	1
clay	1
clean	3
cleaner	2
cleanse	1
clear	24
clearly	18
clearness	1
cleaves	1
clergy	3
clerk	1
clerks	1
climate	8
climb	1
climes	1
clinching	1
cling	3
clinton	3
cloaked	1
clocks	1
clogged	1
close	14
closed	4
closely	4
closeness	2
closer	2
closest	2
closing	1
clothe	1
clothed	2
clothes	1
clothing	1
clouds	2
co	3
coal	2
coaling	1
coarse	1
coast	5
coasts	1
cocaine	1
code	2
coequal	1
coercion	1
coercions	1
coercive	1
coeval	2
coffers	1
coherence	1
coin	3
coinage	2
coincidence	2
coined	2
cold	5
coldest	1
coleman	1
collaborator	1
collapse	3
collect	5
collected	6
collection	4
collective	5
collectively	3
college	1
colleges	3
collision	1
collisions	4
colonel	1
colonial	2
colonies	2
colonists	1
colonization	2
color	3
colorable	1
colored	5
colors	2
colossal	1
columbia	3
columns	1
combat	4
combated	1
combination	2
combinations	7
combine	1
combined	3
combining	1
come	36
comes	8
cometh	1
comfort	10
comforts	4
coming	10
comities	1
comity	1
command	13
commanded	3
commander	1
commanders	1
commanding	3
commandments	1
commands	1
commence	5
commenced	2
commencement	5
commencing	3
commendable	1
commended	2
commending	1
commensurate	2
commerce	29
commercial	9
commiseration	1
commission	5
commissioner	1
commissioners	1
commissions	2
commit	5
commitment	7
commitments	5
committed	15
committing	1
commodities	1
common	37
commonly	2
commonplace	2
commons	1
commonwealth	3
communicate	2
communicated	2
communicating	2
communication	5
communications	3
communion	1
communism	6
communist	1
communists	1
communities	15
community	20
compact	5
compacts	1
companies	2
companions	1
company	2
comparative	3
comparatively	3
compare	2
compared	4
comparison	1
compass	3
compassion	5
compassionate	2
compatible	4
compel	2
compelled	4
compelling	3
compensate	2
compensated	1
compensation	4
compensations	1
compete	2
competency	4
competent	9
competing	1
competition	8
competitions	1
competitive	1
complain	2
complained	1
complaining	1
complaint	1
complete	14
completed	5
completely	4
completeness	1
completion	2
complex	5
complexity	1
compliance	6
complicated	3
complications	1
compliment	1
comply	1
comport	1
comports	1
compose	4
composed	3
composing	1
composite	1
composition	1
comprehend	3
comprehending	1
comprehension	1
comprehensive	3
comprehensively	1
compress	1
comprise	1
comprised	1
compromise	8
compromises	1
compulsory	1
computation	1
computer	1
comrades	1
conceded	3
conceive	2
conceived	3
conceives	1
conceiving	2
concentrated	2
concentrating	1
concentration	2
concept	2
conception	6
concepts	2
concern	13
concerned	9
concerning	6
concernment	2
concerns	13
concert	2
concerted	1
concession	7
concessions	4
conciliate	1
conciliated	1
conciliation	4
concise	1
concluded	2
concluding	1
conclusion	7
conclusions	1
conclusive	5
concord	4
concrete	1
concur	1
concurrence	3
concurrent	1
condemn	4
condemned	3
condemning	1
condescending	1
condition	20
conditions	15
condoned	1
conduct	20
conducted	6
conducting	4
conducts	1
confederacies	2
confederacy	8
confederate	1
confederated	4
confederation	6
confer	4
conference	2
conferences	1
conferred	7
conferring	2
confers	2
confess	2
confessedly	1
confession	1
confide	1
confided	3
confidence	42
confident	8
confidently	8
confiding	2
configuration	1
confine	1
confined	4
confines	1
confirm	2
confirmed	4
conflict	17
conflicting	7
conflicts	4
conform	2
conformable	2
conforming	1
conformity	7
confound	1
confront	6
confrontation	2
confronted	2
confronting	2
confronts	2
confuse	1
confusion	4
congenial	1
congratulate	3
congratulation	2
congratulations	1
congregations	1
congress	29
congressional	3
congressman	2
conjecture	1
connected	8
connection	3
connections	1
connects	1
connive	1
conquer	3
conquered	6
conquering	2
conqueror	1
conquest	5
conquests	1
conscience	20
consciences	1
conscientious	5
conscientiously	1
conscious	9
consciousness	8
consecrate	3
consecrated	1
consecrates	2
consecration	2
consent	7
consequence	7
consequences	12
consequent	6
consequential	1
consequently	3
conservation	3
conservative	4
conservator	1
conserve	1
conserving	1
consider	12
considerable	3
considerably	1
considerate	3
considerately	1
consideration	14
considerations	9
considered	15
considering	3
consist	1
consistency	1
consistent	10
consistently	4
consisting	1
consists	2
consolation	4
consolatory	2
console	1
consoled	1
consolidate	2
consolidated	1
consoling	1
consort	1
conspicuous	3
conspicuously	3
conspiracies	1
constant	17
constantly	14
constants	1
constellation	2
constituent	2
constituents	5
constitute	6
constituted	7
constituting	1
constitution	38
constitutional	24
constitutionally	3
constitutions	3
constrain	1
constrained	1
constraint	1
constricted	1
construct	1
constructed	3
constructing	2
construction	9
constructive	2
construe	1
construed	1
consul	1
consult	1
consultations	2
consulted	1
consulting	1
consume	2
consumed	3
consummate	1
consummating	1
consummation	5
consumption	2
contacts	1
contain	2
containing	2
contains	4
contemplate	9
contemplated	2
contemplating	2
contemplation	3
contemplations	1
contempt	4
contend	2
contended	1
contending	1
content	5
contented	2
contention	2
contentions	1
contentious	1
contentment	4
contest	9
contests	4
contiguous	1
continent	17
continents	5
continentùfor	1
contingency	2
continually	1
continuance	10
continuation	3
continue	29
continued	18
continues	5
continuing	7
continuity	2
continuum	1
contour	1
contract	3
contracted	3
contracting	1
contraction	1
contracts	1
contradistinction	1
contrary	8
contrast	4
contrasts	1
contribute	5
contributed	7
contribution	4
contributions	4
contributory	1
contriving	1
control	26
controlled	6
controlling	3
controls	3
controversies	7
controversy	4
convene	2
convenience	6
convenient	1
convening	1
convention	5
conventional	1
conventions	1
converging	1
conversion	1
convert	2
convertible	1
convey	1
conviction	17
convictions	7
convinced	5
convinces	1
convulsed	1
convulsions	1
cook	1
cool	3
coolidge	1
cooperate	4
cooperating	1
cooperation	18
cooperative	2
coordinate	7
copartnership	1
cope	1
cordial	5
cordially	1
core	2
corn	1
corner	3
corners	2
corporation	2
corporations	4
corpus	1
correct	10
corrected	5
correction	4
corrective	2
correctives	1
correctly	2
corresponded	1
correspondent	3
corresponding	5
corroded	1
corrupt	1
corrupted	1
corrupting	2
corruption	4
cortes	1
cosmopolitan	1
cosmos	1
cost	17
costly	2
costs	3
cotton	2
cottons	1
could	33
councils	9
counsel	10
counsels	6
count	7
counted	2
countenance	3
counter	3
counteract	1
counteracted	1
counteraction	2
counterfeit	1
counties	1
counting	1
countless	1
countries	17
country	53
countrymen	25
countryside	1
county	1
courage	23
courageous	1
courageously	3
courier	1
course	31
courses	4
court	9
courtesy	2
courts	5
covenant	4
covenants	2
cover	1
covered	1
covering	1
covers	2
covet	3
cradle	1
craft	1
crafty	1
crave	1
craving	1
create	14
created	17
creates	2
creating	5
creation	5
creative	4
creativity	1
creator	5
credit	16
creditable	1
creditors	1
credits	3
creed	8
creeds	3
creep	1
crime	10
crimes	2
criminal	4
criminality	1
criminals	1
cripple	1
crippling	1
crises	4
crisis	14
critical	1
critically	2
criticism	2
croix	1
cromwell	1
crop	1
crops	1
cross	5
crosses	1
crowded	3
crowds	1
crown	2
crowned	3
crucial	2
crude	1
cruel	2
cruelty	1
cruising	1
crumble	1
crush	2
crushes	1
crushing	1
cry	1
cuba	1
cuban	1
cubans	1
culpable	1
culprits	1
cultivate	10
cultivated	4
cultivation	3
cultivator	1
cultural	3
culture	6
cultures	1
cup	2
cupidity	1
curb	1
cure	2
cured	3
cures	1
curiosity	2
currency	11
current	8
currents	3
curse	2
curtailment	1
curtii	1
custody	1
custom	7
customary	1
customs	4
cut	8
cuts	1
cutting	1
cycle	1
cynicism	1
cynics	1
daily	9
dakota	1
dakotas	1
dam	1
damage	1
dams	1
danger	20
dangerous	11
dangerously	1
dangers	18
dare	7
dared	1
dares	1
daring	1
dark	11
darkened	3
darkest	2
darkness	6
data	1
date	1
daughters	1
david	1
dawn	4
dawning	2
day	40
days	14
dc	1
de	1
dead	4
deadlock	1
deadly	2
deaf	2
deal	4
dealing	7
dealings	5
dealt	2
dear	8
dearer	1
dearest	1
death	7
deathless	1
deaths	1
debased	1
debasement	1
debate	8
debates	2
debauched	1
debt	15
debtor	1
debts	6
decade	1
decadent	1
decades	6
decay	4
decayed	1
deceit	2
deceive	1
deceived	2
december	1
decencies	1
decency	6
decent	9
decide	6
decided	5
decides	2
deciding	2
decii	1
decision	13
decisions	13
decisive	6
decisively	1
declaration	16
declarations	5
declare	12
declared	14
declares	2
declaring	1
decline	7
declining	3
decoding	1
decoration	1
decrease	1
decreased	2
decreasing	1
decree	2
decreed	1
decrees	3
dedicate	4
dedicated	4
dedication	11
deed	1
deeds	3
deem	6
deemed	6
deems	1
deep	16
deepen	1
deepened	1
deepening	1
deeper	7
deepest	5
deeply	20
defamation	1
defamatory	1
defaulters	1
defaulting	1
defeat	6
defeated	1
defeating	1
defeatism	1
defect	4
defective	2
defects	3
defend	20
defended	5
defender	1
defenders	1
defending	4
defense	22
defenseless	1
defenses	4
defensive	2
defer	1
deference	1
deferred	1
deficiencies	3
deficiency	3
deficit	7
deficits	1
defied	1
defies	1
define	8
defined	3
defines	2
defining	2
definite	5
definitely	2
definition	4
definitions	1
defray	1
defrayed	1
defy	1
degenerate	2
degeneration	1
degradation	2
degradations	1
degrades	1
degrading	2
degree	19
degrees	2
delano	1
delay	6
delayed	6
delays	2
delegated	3
delegation	1
deliberate	5
deliberately	2
deliberating	1
deliberation	3
deliberations	5
delicacy	2
delicate	5
delicious	1
delight	2
delights	1
delineated	2
delinquency	1
delinquent	1
delirium	1
deliver	3
deliverance	1
delivered	5
delivering	1
deluge	1
delusion	1
delusions	2
delusive	1
demagogue	1
demand	18
demanded	6
demanding	2
demands	17
demilitarize	1
democracies	2
democracy	17
democrat	1
democratic	10
democrats	3
demolish	1
demonstrate	4
demonstrated	5
demonstration	3
demonstrations	1
demoralization	1
demoralizes	1
demoralizing	4
denial	2
denied	6
denies	2
denominations	1
denounce	1
denounced	1
dense	1
densely	1
deny	9
denying	2
depart	4
departed	2
department	11
departments	16
departure	6
depend	17
dependable	1
depended	2
dependence	4
dependencies	2
dependency	3
dependent	4
depending	3
depends	12
depletion	1
deplorable	1
deplorably	1
deplore	1
deplored	1
depositaries	1
deposits	1
deprecated	2
depreciation	1
depressed	2
depression	11
deprivation	2
deprive	2
deprived	4
depth	2
depths	2
deputed	1
derive	5
derived	6
derives	3
deriving	1
descendants	3
descending	2
descends	1
describe	1
described	1
describes	1
desert	1
deserted	1
deserters	1
deserts	3
deserve	9
deserved	2
deserves	5
deserving	5
design	1
designates	1
designation	2
designed	3
designing	2
designs	2
desirable	5
desire	22
desired	3
desires	1
desiring	1
desirous	2
desolated	1
despair	5
despaired	2
desperate	2
desperation	1
despise	1
despite	3
despondence	1
despotic	1
despotism	7
despots	1
destination	1
destined	5
destinies	9
destiny	21
destitute	1
destroy	15
destroyed	4
destroying	3
destroys	2
destruction	14
destructive	7
detached	1
detachment	1
detail	3
detailed	1
details	2
detained	1
detect	1
deter	1
deteriorate	1
determination	18
determinations	1
determine	9
determined	18
determines	1
determining	2
detract	1
detriment	3
detroit	2
devastated	1
devastates	1
devastating	1
devastation	1
develop	4
developed	6
developing	6
development	12
developments	1
deviation	1
device	2
devices	2
devise	4
devised	5
devising	2
devolve	2
devolved	2
devote	5
devoted	9
devoting	1
devotion	19
devout	1
dew	1
diadem	1
diamonds	1
diary	1
dictate	3
dictated	2
dictates	6
dictator	2
dictators	1
dictatorship	1
did	26
didn	1
die	3
died	4
dies	1
dieùbecause	1
differ	3
differed	2
difference	16
differences	17
different	23
differentiating	1
differentiation	1
differently	2
differing	5
difficult	16
difficulties	15
difficulty	7
difficultùeven	1
diffidence	3
diffused	2
diffusion	4
digest	1
digital	1
dignified	3
dignifies	1
dignity	17
diligence	2
diligent	2
diligently	1
dimensions	1
diminish	4
diminished	2
diminishes	2
diminishing	3
dimmed	1
dimness	1
din	2
dingley	1
diplomacy	7
diplomatic	2
dire	1
direct	14
directed	11
directing	2
direction	14
directions	1
directly	11
directs	1
dirksen	1
disability	1
disabled	1
disadvantaged	1
disaffection	1
disagree	1
disagreements	1
disappeared	3
disappearing	1
disappointed	3
disappointment	2
disapproved	1
disarmament	1
disaster	6
disasters	1
disastrous	1
disbursed	1
disbursement	4
discard	2
discarding	1
discern	3
discernment	1
discharge	20
discharged	3
